ORACLE_TABLE_ID,ORACLE_COL_NAME,ORACLE_COL_DESCRIPTION,ORACLE_DATATYPE
52546.0,DM_INHERIT_RECEIPT_NUM_FLAG,Indicates if the debit memo that a debit memo reversal creates is assigned the same document number as the reversed receipt,V
52546.0,MERCHANT_ID,"Merchant's identifier for the Credit Card Processor, usually provided by the bank or credit card issuer",N
52546.0,PAYMENT_TYPE_CODE,"Payment type for this payment method, values include CASH, CHECK, and CREDIT CARD",V
52546.0,RECEIPT_INHERIT_INV_NUM_FLAG,Indicates if a receipt that the Automatic Receipts program creates is assigned the same document number as the transaction that the receipt pays,V
52547.0,EDISC_RECEIVABLES_TRX_ID,Foreign key to AR_RECEIVABLES_TRX. This indicates the Receivables Activity to use when accounting for tax on earned discounts.,N
52547.0,UNEDISC_RECEIVABLES_TRX_ID,Foreign key to AR_RECEIVABLES_TRX. This indicates the Receivables Activity to use when accounting for tax on unearned discounts.,N
52559.0,ARRIVALSETS_INCLUDE_LINES_FLAG,Y if lines should automatically be included in arrival sets,V
52559.0,DATES_NEGATIVE_TOLERANCE,Negative tolerance for acceptable dates,N
52559.0,DATES_POSITIVE_TOLERANCE,Positive tolerance for acceptable dates,N
52559.0,DATE_TYPE_PREFERENCE,Preference for ship or arrival dates,V
52559.0,FIRST_NAME,First Name of the person,V
52559.0,INVOICE_QUANTITY_RULE,Rule to indicate whether to invoice for ordered quantity or fulfilled quantity,V
52559.0,ITEM_CROSS_REF_PREF,Lookup for item cross reference preference for placing orders,V
52559.0,LAST_NAME,Last Name of the person,V
52559.0,OVER_RETURN_TOLERANCE,Percentage tolerance for over return,N
52559.0,OVER_SHIPMENT_TOLERANCE,Percentage tolerance for over shipment,N
52559.0,PERSON_FLAG,Indicates whether the customer is a person (trather than a business or company),V
52559.0,PRICING_EVENT,"Event at which to price orders.  For example, at entry, at shipping, or at invoicing.",V
52559.0,SCHED_DATE_PUSH_FLAG,Y if group schedule date should automatically be pushed,V
52559.0,SHIP_SETS_INCLUDE_LINES_FLAG,Y if lines should automatically be included in ship sets,V
52559.0,UNDER_RETURN_TOLERANCE,Percentage tolerance for under return,N
52559.0,UNDER_SHIPMENT_TOLERANCE,Percentage tolerance for under shipment,N
78676.0,GLOBAL_ATTRIBUTE11,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE12,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE13,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE14,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE15,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE16,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE17,Reserved for country-specific functionality,V
78676.0,GLOBAL_ATTRIBUTE18,Reserved for country-specific functionality,V
70631.0,ATTRIBUTE1,Descriptive flexfield segment,V
70631.0,ATTRIBUTE10,Descriptive flexfield segment,V
70631.0,ATTRIBUTE11,Descriptive flexfield segment,V
70631.0,ATTRIBUTE12,Descriptive flexfield segment,V
70631.0,ATTRIBUTE13,Descriptive flexfield segment,V
70631.0,ATTRIBUTE14,Descriptive flexfield segment,V
70631.0,ATTRIBUTE15,Descriptive flexfield segment,V
70631.0,ATTRIBUTE2,Descriptive flexfield segment,V
70631.0,ATTRIBUTE3,Descriptive flexfield segment,V
70631.0,ATTRIBUTE4,Descriptive flexfield segment,V
70631.0,ATTRIBUTE5,Descriptive flexfield segment,V
70631.0,ATTRIBUTE6,Descriptive flexfield segment,V
70631.0,ATTRIBUTE7,Descriptive flexfield segment,V
70631.0,ATTRIBUTE8,Descriptive flexfield segment,V
70631.0,ATTRIBUTE9,Descriptive flexfield segment,V
70631.0,ATTRIBUTE_CATEGORY,Descriptive flexfield structure definition column.,V
70631.0,AUTO_REC_MIN_RECEIPT_AMOUNT,Limits the minimum receipt amount for a currency,N
70631.0,CREATED_BY,Standard who column - user who created this row (foreign key to FND_USER.USER_ID).,N
70631.0,CREATION_DATE,Standard who column - date when this row was created.,D
70631.0,CURRENCY_CODE,Code defined for a currency,V
70631.0,CUST_ACCOUNT_ID,Foreign key to the HZ_CUST_ACCOUNTS table,N
70631.0,CUST_ACCOUNT_PROFILE_ID,Identifier of the customer account's profile,N
70631.0,CUST_ACCT_PROFILE_AMT_ID,Unique identifier of profile amount row,N
70631.0,EXPIRATION_DATE,Date on which this credit limit expires,D
70631.0,GLOBAL_ATTRIBUTE1,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE10,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE11,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE12,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE13,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE14,Reserved for country-specific functionality,V
78676.0,CUST_ACCOUNT_PROFILE_ID,Unique identifier of this customer profile,N
78676.0,LAST_UPDATED_BY,Standard who column - user who last updated this row (foreign key to FND_USER.USER_ID).,N
78676.0,LAST_UPDATE_DATE,Standard Who column - date when a user last updated this row.,D
78676.0,LAST_UPDATE_LOGIN,Standard who column - operating system login of user who last updated this row (foreign key to FND_LOGINS.LOGIN_ID).,N
78676.0,CREATED_BY,Standard who column - user who created this row (foreign key to FND_USER.USER_ID).,N
78676.0,CREATION_DATE,Standard who column - date when this row was created.,D
78676.0,CUST_ACCOUNT_ID,Identifier for the Customer Account. Foreign key to the HZ_CUST_ACCOUNTS table,N
78676.0,STATUS,Indicates whether the profile is active or inactive,V
78676.0,COLLECTOR_ID,Identifier of the collector associated with this customer profile,N
78676.0,CREDIT_ANALYST_ID,Identifier of the credit analyst associated with this customer profile,N
78676.0,CREDIT_CHECKING,Indicates whether a credit check is to be carried out,V
78676.0,NEXT_CREDIT_REVIEW_DATE,The next date that credit will be reviewed,D
78676.0,TOLERANCE,Percentage over credit limit that this customer can exceed before action is taken,N
78676.0,DISCOUNT_TERMS,"Indicates if discount terms exist. Y for discount terms are allowed, N for no discount terms are allowed. The default value is Y.",V
78676.0,DUNNING_LETTERS,"Indicates if dunning letters are sent to this customer when invoices, debit memos or chargebacks become past due. Y for  dunning letters are sent, N for no dunning letters. Default value is Y.",V
51382.0,CREATED_BY,Standard Who column,N
51382.0,CREATION_DATE,Standard Who column,D
51382.0,DESCRIPTION,Description of the discrete job or repetitive assembly,V
51382.0,ENTITY_TYPE,WIP entity type code,N
51382.0,LAST_UPDATED_BY,Standard Who column,N
51382.0,LAST_UPDATE_DATE,Standard Who column,D
51382.0,LAST_UPDATE_LOGIN,Standard Who column,N
51382.0,ORGANIZATION_ID,Organization Identifier,N
51382.0,PRIMARY_ITEM_ID,Inventory item Identifier for the assembly the job or schedule creates,N
51382.0,PROGRAM_APPLICATION_ID,Enhanced Who column,N
51382.0,PROGRAM_ID,Enhanced Who column,N
51382.0,PROGRAM_UPDATE_DATE,Enhanced Who column,D
51382.0,REQUEST_ID,Enhanced Who column,N
51382.0,WIP_ENTITY_ID,Job or schedule Identifier,N
51382.0,WIP_ENTITY_NAME,WIP job or repetitive assembly name or flow schedule reference code,V
51842.0,APPLICATION_ID,Application identifier,N
51842.0,ATTRIBUTE1,Descriptive flexfield segment,V
51842.0,ATTRIBUTE10,Descriptive flexfield segment,V
51842.0,ATTRIBUTE11,Descriptive flexfield segment,V
51842.0,ATTRIBUTE12,Descriptive flexfield segment,V
51842.0,ATTRIBUTE13,Descriptive flexfield segment,V
51842.0,ATTRIBUTE14,Descriptive flexfield segment,V
51842.0,ATTRIBUTE15,Descriptive flexfield segment,V
51842.0,ATTRIBUTE2,Descriptive flexfield segment,V
51842.0,ATTRIBUTE3,Descriptive flexfield segment,V
51842.0,ATTRIBUTE4,Descriptive flexfield segment,V
51842.0,ATTRIBUTE5,Descriptive flexfield segment,V
51842.0,ATTRIBUTE6,Descriptive flexfield segment,V
51842.0,ATTRIBUTE7,Descriptive flexfield segment,V
51842.0,ATTRIBUTE8,Descriptive flexfield segment,V
51842.0,ATTRIBUTE9,Descriptive flexfield segment,V
51842.0,ATTRIBUTE_CATEGORY,Attribute category,V
51842.0,AUDIT_TABLE_NAME,Name of the audit table,V
51842.0,CREATED_BY,Standard Who column,N
51842.0,CREATION_DATE,Standard Who column,D
51842.0,DB_SEQUENCE_NAME,The name of the document sequence in the database,V
51842.0,DOC_SEQUENCE_ID,Document sequence identifier,N
51842.0,END_DATE,The date when the document sequence becomes inactive,D
51842.0,INITIAL_VALUE,Initial value of the document sequence,N
51842.0,LAST_UPDATED_BY,Standard Who column,N
51842.0,LAST_UPDATE_DATE,Standard Who column,D
51842.0,LAST_UPDATE_LOGIN,Standard Who column,N
51842.0,MESSAGE_FLAG,Flag indicating whether to display a message on the status line with the document sequence name and value,V
51842.0,NAME,Name of document sequence,V
51842.0,START_DATE,The date when the document sequence becomes active,D
51842.0,TABLE_NAME,Table name,V
51842.0,TYPE,Document sequence type (either Automatic or Manaul),V
78676.0,JGZZ_ATTRIBUTE6,JG Descriptive Flexfield,V
78676.0,PAYMENT_GRACE_DAYS,Maximum number of overdue days allowed before action is taken,N
78676.0,PROGRAM_APPLICATION_ID,Concurrent Program who column - application id of the program that last updated this row (foreign key to FND_APPLICATION.APPLICATION_ID).,N
78676.0,PROGRAM_UPDATE_DATE,Concurrent Program who column - date when a program last updated this row).,D
78676.0,TAX_PRINTING_OPTION,Tax printing option,V
78671.0,ATTRIBUTE_CATEGORY,Descriptive flexfield structure definition column.,V
78671.0,DATE_TYPE_PREFERENCE,Preference for ship or arrival dates,V
78671.0,FOB_POINT,"The point in a shipment at which title to the goods is transferred.  Examples include, FOB delivered (the title changes hands at the point of delivery).",V
78671.0,HOTWATCH_SERVICE_FLAG,No longer used,V
78671.0,INVOICE_QUANTITY_RULE,Rule to indicate whether to invoice for ordered quantity or fulfilled quantity,V
78671.0,NPA_NUMBER,Identifies an account with a Number Plan Area (NPA) used in telecommunications.,V
78671.0,ORIG_SYSTEM_REFERENCE,Unique customer identifier from foreign or legacy system,V
78671.0,PARTY_ID,A foreign key to the HZ_PARTY table.,N
78671.0,PIN_NUMBER,No longer used,N
78671.0,PO_EXPIRATION_DATE,No longer used,D
78671.0,PRIMARY_SPECIALIST_ID,This column is for the service personnel dispatching feature in Incident Tracking and is a foreign key to the PER_PEOPLE table,N
78671.0,PROGRAM_APPLICATION_ID,Concurrent Program who column - application id of the program that last updated this row (foreign key to FND_APPLICATION.APPLICATION_ID).,N
78671.0,REQUEST_ID,Concurrent Program who column - concurrent request id of the program that last updated this row (foreign key to FND_CONCURRENT_REQUESTS.REQUEST_ID).,N
78671.0,SCHED_DATE_PUSH_FLAG,"Indicates if the group schedule date should automatically be pushed. Y for pushing the schedule dates, N for not pushing the schedule date.",V
78671.0,SECONDARY_SPECIALIST_ID,This column is for the service personnel dispatching feature in Incident Tracking and is a foreign key to the PER_PEOPLE table,N
78671.0,SINGLE_USER_FLAG,No longer used,V
78671.0,STATUS_UPDATE_DATE,Last status update date,D
78671.0,WATCH_BALANCE_INDICATOR,No longer used,V
53969.0,ADJUSTING_REVENUE_FLAG,Indicate that the event is an adjusting revenue event,V
53969.0,GL_PERIOD_NAME,The GL period in which the  revenue is posted.,V
53969.0,PA_PERIOD_NAME,The PA period in which the  revenue is posted.,V
53969.0,PJI_SUMMARIZED_FLAG,PJI Summarized Flag,V
53969.0,UBR_SUMMARY_ID,The UBR summary ID.,N
53969.0,UBR_UER_PROCESS_FLAG,The UBR/UER process flag.,V
53969.0,UER_SUMMARY_ID,The UER summary ID,N
53977.0,ASSET_ALLOCATION_METHOD,Identifies the method used to allocate indirect and common costs across the assets assigned to a grouping level.,V
53977.0,CAPITAL_EVENT_PROCESSING,Capital Event Processing method.  Used to determine when cost and assets are grouped for capitalization or retirement adjustment processing.,V
53977.0,CINT_RATE_SCH_ID,Capital Interest Rate Schedule Identifier.,N
53977.0,CINT_SCH_OVERRIDE_FLAG,Flag to indicate whether the interest rate schedule defined for the project type can be overridden at the Project level.,V
57856.0,PROJFUNC_REV_RATE_DATE,The revenue rate date for project functional currency,D
57856.0,PROJFUNC_REV_RATE_DATE_TYPE,The project functional revenue rate date type,V
51922.0,ATP_RULE_ID,Identifier of the available to promise rule used,N
51922.0,CTP_FLAG,Flag indicating capacity must be checked when resource is ordered,N
