ORACLE_TABLE_ID,ORACLE_TABLE_NAME,ORACLE_TABLE_DESCRIPTION
11.0,FND_APPLICATION,Applications registered with Oracle Application Object Library
54429.0,FND_APPLICATION_TL,Translations for FND_APPLICATION
55168.0,FND_ATTACHED_DOCUMENTS,Attached documents
21.0,FND_COLUMNS,Columns in all the registered application tables
60479.0,PA_BILLING_CYCLES,System-defined and implementation-defined billing cycle definitions
51540.0,FND_CURRENCIES,Currencies enabled for use at your site
54428.0,FND_CURRENCIES_TL,Translations for FND_CURRENCIES
48.0,FND_DESCRIPTIVE_FLEXS,Descriptive flexfields registration information
54417.0,FND_DESCRIPTIVE_FLEXS_TL,Translations for FND_DESCRIPTIVE_FLEXS
55164.0,FND_DOCUMENTS,Documents
55165.0,FND_DOCUMENTS_LONG_TEXT,Long text documents
55166.0,FND_DOCUMENTS_TL,Translations for FND_DOCUMENTS
55169.0,FND_DOCUMENT_CATEGORIES,Document categories
55171.0,FND_DOCUMENT_DATATYPES,Document datatypes
57.0,FND_FLEX_VALUES,Valid values for flexfield segments
59.0,FND_FLEX_VALUE_SETS,Value sets used by both key and descriptive flexfields
66.0,FND_ID_FLEX_STRUCTURES,Key flexfield structure information
54420.0,FND_ID_FLEX_STRUCTURES_TL,Translations for FND_ID_FLEX_STRUCTURES
207.0,FND_LANGUAGES,National dialects
54424.0,FND_LOOKUP_VALUES,QuickCode values
102.0,FND_TABLES,Tables registered in applications
51559.0,FND_TERRITORIES,"Territories, also known as countries"
108.0,FND_USER,Application users
51841.0,FND_VIEWS,Views registered with Oracle Application Object Library
51855.0,FND_VIEW_COLUMNS,View columns registered with Oracle Application Object Library
574.0,GL_BALANCES,Account balances for both detail and summary accounts
69724.0,PO_APPROVED_SUPPLIER_LIST,Approved supplier list
69725.0,PO_ASL_ATTRIBUTES,Approved supplier list attributes
69727.0,PO_ASL_STATUSES,Approved supplier list statuses
58225.0,CHV_AUTHORIZATIONS,Authorizations table
57855.0,PA_BUDGET_ENTRY_METHODS,Implementation-defined methods for entering budgets
57856.0,PA_BUDGET_LINES,Detail lines of project and task budgets
57858.0,PA_BUDGET_VERSIONS,Versions of project budgets
57871.0,PA_RESOURCES,Resources used in budgeting and project summary amounts
57873.0,PA_RESOURCE_ASSIGNMENTS,Resource assignments for a budget version at a branch of project's work breakdown
57878.0,PA_RESOURCE_LIST_MEMBERS,Resources within a resource list
79748.0,CS_KB_SETS_B,Knowledge base sets (base table).
79754.0,CS_KB_SET_TYPES_TL,Knowledge base set types (translation table).
79757.0,CS_KB_SET_LINKS,Knowledge base set links.  This table implements the one to many relationship between a set and external entities.
79773.0,CS_KB_SETS_TL,Knowledge base sets (translation table).
79600.0,JTF_TASKS_B,Base Table JTF_TASKS_B stores general information about a given Task.
79503.0,JTF_NOTES_B,Non-translated base table for Notes module.
79505.0,JTF_NOTES_TL,Translated base table for Notes module.
582.0,GL_BUDGET_VERSIONS,Budget version definitions
584.0,GL_CODE_COMBINATIONS,Account combinations
597.0,GL_DAILY_CONVERSION_TYPES,Foreign currency daily conversion rate types
619.0,GL_JE_BATCHES,Journal entry batches
621.0,GL_JE_HEADERS,Journal entry headers
622.0,GL_JE_LINES,Journal entry lines
628.0,GL_PERIOD_STATUSES,Calendar period statuses
647.0,GL_SUMMARY_TEMPLATES,Summary account templates
50214.0,AP_BANK_ACCOUNTS_ALL,
53152.0,AP_BANK_ACCOUNT_USES_ALL,
50215.0,AP_BANK_BRANCHES,
50218.0,AP_CHECKS_ALL,Supplier payment data
50231.0,AP_HOLDS_ALL,Invoice hold information
50234.0,AP_INVOICES_ALL,Detailed invoice records
50238.0,AP_INVOICE_PAYMENTS_ALL,Invoice payment records
50252.0,AP_PAYMENT_SCHEDULES_ALL,Scheduled payment information on invoices
50270.0,AP_TERMS_TL,Payment term definitions
50650.0,AP_TERMS_LINES,Detail information about payment terms
50660.0,PO_AGENTS,Buyers table
50666.0,PO_DISTRIBUTIONS_ALL,Purchase order distributions
69741.0,PO_HEADERS_ALL,"Document headers (for purchase orders, purchase agreements, quotations, RFQs)"
50671.0,PO_LINES_ALL,"Purchase document lines (for purchase orders, purchase agreements, quotations, RFQs)"
50673.0,PO_LINE_LOCATIONS_ALL,"Document shipment schedules (for purchase orders, purchase agreements, quotations, RFQs)"
69775.0,PO_RELEASES_ALL,Purchase order releases
69780.0,PO_REQUISITION_HEADERS_ALL,Requisition headers
69781.0,PO_REQUISITION_LINES_ALL,Requisition lines
69782.0,PO_REQ_DISTRIBUTIONS_ALL,Requisition distributions
69788.0,PO_SYSTEM_PARAMETERS_ALL,Purchasing options
69812.0,RCV_SHIPMENT_HEADERS,Shipment and receipt header information
69813.0,RCV_SHIPMENT_LINES,Receiving shipment line information
69816.0,RCV_TRANSACTIONS,Receiving transactions
50465.0,AR_CASH_RECEIPTS_ALL,Detailed receipt information
52533.0,AR_CASH_RECEIPT_HISTORY_ALL,History of actions and status changes in the life cycle of a receipt
50469.0,AR_COLLECTORS,Information about collectors
50531.0,AR_PAYMENT_SCHEDULES_ALL,All transactions except adjustments and miscellaneous cash receipts
52545.0,AR_RECEIPT_CLASSES,Information about receipt classes
52546.0,AR_RECEIPT_METHODS,Information about payment methods
60566.0,PA_PROJECT_STATUSES,Valid project status codes
67692.0,HR_ALL_ORGANIZATION_UNITS,Organization unit definitions.
52547.0,AR_RECEIPT_METHOD_ACCOUNTS_ALL,Account information for accounts used by payment methods
52555.0,RA_BATCH_SOURCES_ALL,"Sources of invoice, credit memo and commitments"
52559.0,RA_CUSTOMERS,Customer information
52566.0,RA_CUSTOMER_TRX_ALL,"Header-level information about invoices, debit memos, chargebacks, commitments and credit memos"
52567.0,RA_CUSTOMER_TRX_LINES_ALL,"Invoice, debit memo, chargeback, credit memo and commitment lines"
52569.0,RA_CUST_TRX_LINE_GL_DIST_ALL,"Accounting records for revenue, unearned revenue and unbilled receivables"
52571.0,RA_CUST_TRX_TYPES_ALL,"Transaction type for invoices, commitments and credit memos"
78693.0,CS_INCIDENTS_ALL_B,This table stores non-translated information about service requests.
52586.0,RA_PHONES,Telephone and communications information
52593.0,RA_SITE_USES_ALL,Business purpose of a customer address
52595.0,RA_TERMS_B,Payment Term information
55108.0,QA_PLANS,Collection plan definitions
55109.0,QA_PLAN_CHARS,Stores  collection plans and their assigned collection elements
55115.0,QA_PLAN_TRANSACTIONS," Stores information on Quality  Collection Plan and the Quality Collection transactions,  the plan is associated with"
55117.0,QA_RESULTS,Quality  Results data repository
54017.0,PA_AGREEMENTS_ALL,Customer contracts  that serve as the basis for work authorization
53957.0,PA_COST_DISTRIBUTION_LINES_ALL,Information about expenditure item cost distribution
53984.0,PA_CUST_EVENT_RDL_ALL,Information about event revenue distribution
53964.0,PA_DISTRIBUTION_RULES,System-defined pairings of revenue accrual and invoicing methods that can be used for projects
53969.0,PA_DRAFT_REVENUES_ALL,Information about draft revenue generated for projects
53985.0,PA_DRAFT_REVENUE_ITEMS,Draft revenue lines
53983.0,PA_EVENTS,Entries assigned to tasks that generate revenue and/or billing but are not directly related to expenditure items
54031.0,PA_EVENT_TYPES,Implementation-defined classifications of events
53955.0,PA_EXPENDITURES_ALL,Groups of expenditure items incurred by employees or organizations for an expenditure period
53958.0,PA_EXPENDITURE_COMMENTS,Free text entered for expenditure items to explain or further describe work performed
53986.0,PA_EXPENDITURE_ITEMS_ALL,The smallest units of expenditure charged to projects and tasks
53617.0,PA_PROJECTS_ALL,PA_PROJECTS_ALL stores the highest units of work defined in Oracle Projects.
54018.0,PA_PROJECT_FUNDINGS,Incremental amounts of allocated funds from agreements to projects and tasks
53977.0,PA_PROJECT_TYPES_ALL,Implementation-defined project classifications that supply default information and drive some project processing
53618.0,PA_TASKS,User-defined subdivisions of project work
54498.0,PA_TRANSACTION_INTERFACE_ALL,Interface table to import transactions from external sources into Oracle Projects
79986.0,HZ_CODE_ASSIGNMENTS,Intersection table linking industrial classification codes to parties or related entities
78669.0,HZ_CUST_SITE_USES_ALL,Stores business purposes assigned to customer account sites.
78683.0,HZ_PARTIES,"Information about parties such as organizations, people, and groups"
80060.0,CSD_REPAIR_TYPES_TL,This is the translation table for the repair type table CSD_REPAIR_TYPES_B.
79843.0,IBY_CREDITCARD,IBY_CREDITACRD stores Credit Card related information of the customer(payer) or payee.
67835.0,PER_COLLECTIVE_AGREEMENTS,Collective agreement information.
67836.0,PER_CONTRACTS_F,The details of a persons contract of employment
67012.0,FND_LOBS,LOBs being managed by the Generic File Manager
620.0,GL_JE_CATEGORIES_TL,Journal entry categories
623.0,GL_JE_SOURCES_TL,Journal entry sources
71369.0,OE_AGREEMENTS_B,OE_AGREEMENTS_B stores all information about pricing agreements.
71712.0,QP_LIST_HEADERS_B,"QP_LIST_HEADERS_B stores the header information for all lists. List types can be, for example,  Price Lists, Discount Lists or Promotions."
71713.0,QP_LIST_HEADERS_TL,"QP_LIST_HEADERS_TL stores the translatable columns, name and description of the list, in each of the available languages in the database."
71591.0,QP_LIST_LINES,QP_LIST_LINES stores all list lines for lists in QP_LIST_HEADERS_B.
71595.0,QP_PRICING_ATTRIBUTES,QP_PRICING_ATTRIBUTES stores product information and pricing attributes.
71720.0,QP_QUALIFIERS,QP_QUALIFIERS stores qualifier attribute information.
71816.0,QP_QUALIFIER_RULES,QP_QUALIFIER_RULES stores the header information for all qualifier rules
71723.0,QP_RLTD_MODIFIERS,QP_RLTD_MODIFIERS stores the relationship between modifier lines.
71264.0,WSH_DELIVERY_ASSIGNMENTS,Delivery Assignments
71265.0,WSH_DELIVERY_DETAILS,Delivery Details
71267.0,WSH_NEW_DELIVERIES,Deliveries
60191.0,GL_DAILY_RATES,Daily conversion rates for foreign currency transactions
57882.0,PA_RESOURCE_TYPES,Types of resources
78663.0,RA_CONTACTS,
51921.0,BOM_DEPARTMENTS,Departments
51913.0,BOM_DEPARTMENT_CLASSES,Department classes
51922.0,BOM_DEPARTMENT_RESOURCES,Resources associated with departments
51854.0,BOM_OPERATIONAL_ROUTINGS,Routings
51848.0,BOM_OPERATION_SEQUENCES,Routing operations
51845.0,BOM_RESOURCES,"Resources, overheads, material cost codes, and material overheads"
