SAP_TABLE_NAME,SAP_COL_NAME,ROLLNAME,SAP_DATATYPE,SAP_COL_DESCRIPTION
BSEG,.INCLU--AP, , ,
BSEG,.INCLU--AP, , ,
BSEG,ABPER,ABPER_RF,ACCP,Settlement period
BSEG,ABSBT,ABSBT,CURR,Credit management: Hedged amount
BSEG,AGZEI,AGZEI,DEC,Clearing Item
BSEG,ALTKT,BILKT_SKA1,CHAR,Group account number
BSEG,ANBWA,ANBWA,CHAR,Asset Transaction Type
BSEG,ANFAE,ANFAE,DATS,Bill of Exchange Payment Request Due Date
BSEG,ANFBJ,ANFBJ,NUMC,Fiscal Year of the Bill of Exchange Payment Request Document
BSEG,ANFBN,ANFBN,CHAR,Document Number of the Bill of Exchange Payment Request
BSEG,ANFBU,ANFBU,CHAR,Company Code in Which Bill of Exch.Payment Request Is Posted
BSEG,ANLN1,ANLN1,CHAR,Main Asset Number
BSEG,ANLN2,ANLN2,CHAR,Asset Subnumber
BSEG,APLZL,APLZL_CH,NUMC,General counter for order
BSEG,AUFNR,AUFNR,CHAR,Order Number
BSEG,AUFPL,AUFPL_CH,NUMC,Task list number for operations in order
BSEG,AUGBL,AUGBL,CHAR,Document Number of the Clearing Document
BSEG,AUGCP,AUGCP,DATS,Clearing Entry Date
BSEG,AUGDT,AUGDT,DATS,Clearing Date
BSEG,AUGGJ,AUGGJ,NUMC,Fiscal Year of Clearing Document
BSEG,BDIF2,BDIF2,CURR,Valuation Difference for the Second Local Currency
BSEG,BDIF3,BDIF3,CURR,Valuation Difference for the Third Local Currency
BSEG,BDIFF,BDIFF,CURR,Valuation Difference
BSEG,BELNR,BELNR_D,CHAR,Accounting Document Number
BSEG,BEWAR,RMVCT,CHAR,Transaction Type
BSEG,BLNBT,BLNBT,CURR,Base Amount for Determining the Preference Amount
BSEG,BLNKZ,BLNKZ,CHAR,Subsidy indicator for determining the reduction rates
BSEG,BLNPZ,BLNPZ,DEC,Preference Percentage Rate
BSEG,BONFB,BONFB,CURR,Amount Qualifying for Bonus in Local Currency
BSEG,BPMNG,BPMNG,QUAN,Quantity in Purchase Order Price Unit
BSEG,BPRME,BPRME,UNIT,Order Price Unit (Purchasing)
BSEG,BSCHL,BSCHL,CHAR,Posting Key
BSEG,BTYPE,JV_BILIND,CHAR,Payroll Type
BSEG,BUALT,BUALT,CURR,Amount posted in alternative price control
BSEG,BUKRS,BUKRS,CHAR,Company Code
BSEG,BUPLA,BUPLA,CHAR,Business Place
BSEG,BUSTW,BUSTW,CHAR,Posting string for values
BSEG,BUZEI,BUZEI,NUMC,Number of Line Item Within Accounting Document
BSEG,BUZID,BUZID,CHAR,Identification of the Line Item
BSEG,BVTYP,BVTYP,CHAR,Partner Bank Type
BSEG,BWKEY,BWKEY,CHAR,Valuation Area
BSEG,BWTAR,BWTAR_D,CHAR,Valuation Type
BSEG,BZDAT,BZDAT,DATS,Asset value date
BSEG,CCBTC,CCBTC,CHAR,Payment cards: Settlement run
BSEG,CESSION_KZ,CESSION_KZ,CHAR,Accounts Receivable Pledging Indicator
BSEG,DABRZ,DABRBEZ,DATS,Reference Date for Settlement
BSEG,DEPOT,RLDEPO,CHAR,Securities Account
BSEG,DIEKZ,DIEKZ,CHAR,Service Indicator (Foreign Payment)
BSEG,DISBJ,DISBJ,NUMC,Fiscal Year of Bill of Exchange Usage Document
BSEG,DISBN,DISBN,CHAR,Number of Bill of Exchange Usage Document (Discount Doc.)
BSEG,DISBZ,DISBZ,NUMC,Line Item within the Bill of Exchange Usage Document
BSEG,DMB21,DMB2X,CURR,Amount in Second Local Currency for Tax Breakdown
BSEG,DMB22,DMB2X,CURR,Amount in Second Local Currency for Tax Breakdown
BSEG,DMB23,DMB2X,CURR,Amount in Second Local Currency for Tax Breakdown
BSEG,DMB31,DMB3X,CURR,Amount in Third Local Currency for Tax Breakdown
BSEG,DMB32,DMB3X,CURR,Amount in Third Local Currency for Tax Breakdown
BSEG,DMB33,DMB3X,CURR,Amount in Third Local Currency for Tax Breakdown
BSEG,DMBE2,DMBE2,CURR,Amount in Second Local Currency
BSEG,DMBE3,DMBE3,CURR,Amount in Third Local Currency
BSEG,DMBT1,DMBTX,CURR,Amount in Local Currency for Tax Distribution
BSEG,DMBT2,DMBTX,CURR,Amount in Local Currency for Tax Distribution
BSEG,DMBT3,DMBTX,CURR,Amount in Local Currency for Tax Distribution
BSEG,DMBTR,DMBTR,CURR,Amount in Local Currency
BSEG,DOCLN,DOCLN6,CHAR,Six-Character Posting Item for Ledger
BSEG,DTWS1,DTAT16,NUMC,Instruction key 1
BSEG,DTWS2,DTAT17,NUMC,Instruction key 2
BSEG,DTWS3,DTAT18,NUMC,Instruction key 3
BSEG,DTWS4,DTAT19,NUMC,Instruction key 4
BSEG,EBELN,EBELN,CHAR,Purchasing Document Number
BSEG,EBELP,EBELP,NUMC,Item Number of Purchasing Document
BSEG,EGBLD,EGBLD,CHAR,Country of Destination for Delivery of Goods
BSEG,EGLLD,EGLLD,CHAR,Supplying Country for Delivery of Goods
BSEG,EGRUP,JV_EGROUP,CHAR,Equity group
BSEG,ELIKZ,ELIKZ,CHAR,"""Delivery Completed"" Indicator"
BSEG,EMPFB,EMPFB,CHAR,Payee/Payer
BSEG,ERFME,ERFME,UNIT,Unit of Entry
BSEG,ERFMG,ERFMG,QUAN,Quantity in Unit of Entry
BSEG,ESRNR,ESRNR,CHAR,ISR Subscriber Number
BSEG,ESRPZ,ESRPZ,CHAR,ISR Check Digit
BSEG,ESRRE,ESRRE,CHAR,ISR Reference Number
BSEG,ETEN2,ETENR,NUMC,Delivery Schedule Line Number
BSEG,ETYPE,JV_ETYPE,CHAR,Equity type
BSEG,FASTPAY,FMFG_FASTPAY_FLG,CHAR,PPA Fast Pay Indicator
BSEG,FDGRP,FDGRP,CHAR,Planning Group
BSEG,FDLEV,FDLEV,CHAR,Planning level
BSEG,FDTAG,FDTAG,DATS,Planning date
BSEG,FDWBT,FDWBT,CURR,Planning amount in document currency
BSEG,FILKD,FILKD,CHAR,Account Number of the Branch
BSEG,FIPOS,FIPOS,CHAR,Commitment Item
BSEG,FISTL,FISTL,CHAR,Funds Center
BSEG,FKBER,FKBER_SHORT,CHAR,Functional Area
BSEG,FKBER_LONG,FKBER,CHAR,Functional Area
BSEG,FKONT,FIPLS,NUMC,Financial Budget Item
BSEG,FWBAS,FWBAS,CURR,Tax Base Amount in Document Currency
