TABNAME,DDLANGUAGE,AS4LOCAL,AS4VERS,DDTEXT
MARA,E,C,0002,Material Master
BKPF,E,A,0002,Accounting Document Header
LFA1,E,A,0003,Vendor Master (General)
KNA1,E,A,0002,Customer Master
VBAP,E,B,0001,Sales Document Item
VBAK,E,C,0001,Sales Document Header
EBAN,E,C,0001,Purchase Requisition
EKPO,E,C,0003,Purchasing Document Item
EKKN,E,C,0002,Account Assignment in Purchasing Document
AFKO,E,B,0003,Order Header
PKHD,E,B,0001,Control Cycle Header
PLAB,E,A,0001,Planning Table: Orders by Location
PLAS,E,C,0001,Allocation Table for Planned Orders
PLFH,E,C,0001,Production Resources/Tools Assignment Header
PLFL,E,A,0003,Production Resources/Tools Assignment Lines
PLFT,E,B,0003,Production Resources/Tools Assignment Texts
PLFV,E,C,0003,Production Resources/Tools Assignment Versions
PLKO,E,C,0003,Routing Header
PLKZ,E,A,0002,Capacity Planning Header
PLMK,E,B,0001,Inspection Plan Header
PLMW,E,B,0002,Quality Management Inspection Point
PLMZ,E,C,0001,Quality Management Inspection Lot
PLPO,E,A,0003,Routing Operations
PLWP,E,C,0003,Work Center Capacity Requirements
PLZU,E,B,0002,Planning Allocation Overview
