Table,Column,Type,Nullable,Default
Album,AlbumId,INTEGER,False,
Album,Title,NVARCHAR(160),False,
Album,ArtistId,INTEGER,False,
Artist,ArtistId,INTEGER,False,
Artist,Name,NVARCHAR(120),True,
Customer,CustomerId,INTEGER,False,
Customer,FirstName,NVARCHAR(40),False,
Customer,LastName,NVARCHAR(20),False,
Customer,Company,NVARCHAR(80),True,
Customer,Address,NVARCHAR(70),True,
Customer,City,NVARCHAR(40),True,
Customer,State,NVARCHAR(40),True,
Customer,Country,NVARCHAR(40),True,
Customer,PostalCode,NVARCHAR(10),True,
Customer,Phone,NVARCHAR(24),True,
Customer,Fax,NVARCHAR(24),True,
Customer,Email,NVARCHAR(60),False,
Customer,SupportRepId,INTEGER,True,
Employee,EmployeeId,INTEGER,False,
Employee,LastName,NVARCHAR(20),False,
Employee,FirstName,NVARCHAR(20),False,
Employee,Title,NVARCHAR(30),True,
Employee,ReportsTo,INTEGER,True,
Employee,BirthDate,DATETIME,True,
Employee,HireDate,DATETIME,True,
Employee,Address,NVARCHAR(70),True,
Employee,City,NVARCHAR(40),True,
Employee,State,NVARCHAR(40),True,
Employee,Country,NVARCHAR(40),True,
Employee,PostalCode,NVARCHAR(10),True,
Employee,Phone,NVARCHAR(24),True,
Employee,Fax,NVARCHAR(24),True,
Employee,Email,NVARCHAR(60),True,
Genre,GenreId,INTEGER,False,
Genre,Name,NVARCHAR(120),True,
Invoice,InvoiceId,INTEGER,False,
Invoice,CustomerId,INTEGER,False,
Invoice,InvoiceDate,DATETIME,False,
Invoice,BillingAddress,NVARCHAR(70),True,
Invoice,BillingCity,NVARCHAR(40),True,
Invoice,BillingState,NVARCHAR(40),True,
Invoice,BillingCountry,NVARCHAR(40),True,
Invoice,BillingPostalCode,NVARCHAR(10),True,
Invoice,Total,"NUMERIC(10, 2)",False,
InvoiceLine,InvoiceLineId,INTEGER,False,
InvoiceLine,InvoiceId,INTEGER,False,
InvoiceLine,TrackId,INTEGER,False,
InvoiceLine,UnitPrice,"NUMERIC(10, 2)",False,
InvoiceLine,Quantity,INTEGER,False,
MediaType,MediaTypeId,INTEGER,False,
MediaType,Name,NVARCHAR(120),True,
Playlist,PlaylistId,INTEGER,False,
Playlist,Name,NVARCHAR(120),True,
PlaylistTrack,PlaylistId,INTEGER,False,
PlaylistTrack,TrackId,INTEGER,False,
Track,TrackId,INTEGER,False,
Track,Name,NVARCHAR(200),False,
Track,AlbumId,INTEGER,True,
Track,MediaTypeId,INTEGER,False,
Track,GenreId,INTEGER,True,
Track,Composer,NVARCHAR(220),True,
Track,Milliseconds,INTEGER,False,
Track,Bytes,INTEGER,True,
Track,UnitPrice,"NUMERIC(10, 2)",False,
